Id;Sex;Esc;Atv;Ric;Rend;Tvol;Pre;SG;EP;SM
20;2;0;3;1;1000;1;1;-.315267920704747;.479577182865459;-.211773015140842
25;2;2;2;1;3800;2;1;-.980199327173088;-.865176945757732;.847024897568034
29;2;2;2;1;3000;1;2; ; ; 
46;2;2;2;1;3000;2;1;.203929667935132;-.32677652114045;-.547440600958006
28;2;1;2;1;2000;2;1; ; ; 
26;2;1;3;1;1000;1;1;-1.2728835048005;-1.1281409770748; 
55;2;2;2;1;12000;2;1;-.251586802769444;-.418269036422616;.754579130632733
26;2;1;3;1;2000;2;2; ; ; 
28;2;2;2;1;3000;2;2;-.225316157621867;-.468935929523824;-.00570647698442796
52;2;0;2;1;1000;1;1; ; ; 
38;2;2;2;1;2300;2;1;-.558347330295178;-.860786292135679;-.00289334641032109
36;2;2;2;1;8000;2;2;-.23748145169923;.212471104772603;.705567878510645
30;2;2;3;2;2200;2;2;-.233851203555764;.213435789311233;.734821566865813
28;2;2;2;1;4500;2;2;-.63895783567588;-.305375270114072;.358896483124069
29;2;1;1;1;2000;2;2;-.229932017353409;-.973464461246518; 
28;2;1;1;1; ;2;1; ; ;-.0284930212951071
34;2;2;3;1;6000;2;1;-.113599677881526;1.05614719808976;-.357183633062679
37;2;2;2;1;5000;2;2;-.949535777555745;.633245735616127;.551956515390056
42;2;2;3;1;1500;2;1;.589348535956498;.749902109800296;.501028652129332
48;2;2;2;1;4000;2;1;-.0124465669566225;.236569731427461;.319517979315486
27;2;1;3;1;5000;2;2; ; ; 
25;2;1;3;2;1800;1;2;.424943546002298;2.01269880867042;-.566412391502132
20;2;0;1;2; ;2;2; ; ;-1.54744190034373
33;2;0;2;1;1700;1;1;-.0797515841531351;-.477726113924093;.942328603567798
22;2;0;1;2;400;2;1;-.0280488826318937;1.18867493978152;-.607192702069
28;2;1; ;2;4000;2;1;.154396949396078;.914266858610328;-1.01330922719934
28;2;1;3;2;840;1;2; ; ;-2.7007487380348
28;2;2;3;2;3000;2;1; ; ; 
34;2;2;1;1; ;1;1;.250484713747307;-.039916203425077;-.0210590918885683
36;2;1;3;1; ;2;1; ; ; 
27;2;2;2;1;1500;2;1; ;1.27296366767194;.142433157811622
32;2;2;2;2;1800;1;1;2.6118958715167;1.74095966188662; 
30;2;2;3;1;2500;2;1;.549856363281364; ;-.985757378942695
26;2;1;2;1;4500;2;1; ; ; 
26;2;1;2;1;4500;2;1;-.43140674508371;-.82482633484222;.644641016622565
36;2;2;3;2;4000;2;1;-.334926276725324;-.0232750750691795;.975085040898647
44;2;2;3;1;7000;2;2; ; ;-1.42685927046858
51;2;2;3;1;5000;2;1;-1.2728835048005;-1.63581449736423;1.34283541695764
30;2;1;2;1;2000;2;1;-1.1631194269608; ;.497483965185175
31;2;2;3;1;3000;2;1;1.54731161977015;.234678135865252;-.841096052898902
63;2;1; ;1;2000;2;1;-1.2728835048005;-1.38421836298426; 
30;2;0;3;2;300;1;1;-.788543265954548;.20103756703981;.555296777639868
27;2;2;2;1;3000;2;1;-.20588009850534;-.176910342747735;-1.13838243549792
27;2;2;1;1;1000;2;2;.427506327171717;-.366361588548322;.471099264344435
30;2;2;3;1;3500;2;1;-.594743178870065;-.161286712563522; 
41;2;1;2;2;4000;2;1; ; ; 
47;2;2;2;1;5000;2;1;-.60808647218702;.340418503952762;.496266405672068
31;2;2;2;1;5000;2;1;-.400743195466366;-1.12705992953628;.751945989601367
38;2;2;2;2;3000;1;2;-1.08182244650356;-.911744035984948; 
27;2;2;1;1;3000;2;2;1.71441227286096;1.04183615245168;-.0600958007527102
24;2;2;3;2;500;1;1;.00287404284689628;-.836227917614301;.146318066620399
24;2;0;1;1; ;2;1;.0819313109592521;.87810490556695;-.0465977204038531
24;2;0;1;1; ;2;2;-.661386151883407;-.443041678030297;-.0834044830670903
20;2;0;1;2;400;2;1;-.34780683681643;1.0351363684927;-.317003928283192
68;2;1; ;1;2000;2;1; ; ;.912559436074402
31;2;2;3;2;4000;2;1;.619852771901448;.899634422505921;-.122226464326732
28;2;0;2;1;1700;2;1;.709741964860894;1.59042558209489; 
54;2;2;2;2;2000;1;1;.895852039095667;-.485141647194766;1.36320449960587
35;2;2;2;1;3500;1;1;-.268812784169236;-1.25099331294745;1.19076641106581
32;2;2;3;2;4500;2;1;.203929667935132;.0974233324286602;-.150533662962471
19;2;0;1;1; ;1;2;.416004031423083;-.0468332661362294;-.45672240678147
26;2;2;2;1;4000;2;1; ;.599607611303689;-.458169231603923
24;2;0;1;1; ;2;2;-.303088039301426;-1.29588770624806;.939130170483542
31;2;1;3;1;4000;2;2;1.28371921691544;1.30690327399833;-.581602315235805
28;2;2;3;2;2500;2;1;.054810555519867;.342449177855711;-.925434006782222
32;2;1;2;1;4000;2;1;2.51632757464939;1.13408655647945;-1.31617658717334
48;2;2;3;1;7000;1;1;-.0797515841531351;-.980628586623819;-.193829173985327
 ;2;1;3;1;2800;2;1;-1.2728835048005;-.575084720022183;1.04038583190599
33;2;2;1;1;2000;1;1;-.660781981406934;-.856111956570193;.96399288922232
33;2;1;2;2; ;2;1; ; ; 
44;2;2;3;1;10000;2;1;-1.19158652434326;-1.66377788858814;1.61043484544204
48;2;1;2;1;1500;2;1; ; ; 
36;2;2;3;1;1500;2;1;.203929667935132;.37922265117293;.781460957857856
49;2;2;3;1;6000;2;1;-.45173288395695;-1.13085055495658;1.72840323908025
25;2;1;1;1; ;2;1;-.826440600145456;.378544082331402;.220185918945664
34;2;2;2;2; ;2;1;.20565685455644;-.797120862378405;1.11596138511624
42;2;2;2;2;2000;2;1; ; ; 
51;2;1;3;1;3000;2;1;-1.04069203240318;-.581781727817328;-.204582568929254
45;2;2;2;1;4500;2;1;-.618500141620387;-.980628586623819;.274096427376323
43;2;2;3;1;5000;2;1;-.83443780972606;-1.26526589275809;.748877153482797
42;2;2;3;1;4000;2;2;.790245956165472;.379627574382923;-.664760117702214
 ;2;0;2;2; ;2;2;2.06006600348259;1.30629471314705;-2.3706759245934
63;2;0; ;2;4400;2;1; ; ;1.09374039579506
48;2;0;2;1;1500;1;1;1.9387393212258;1.08341229318201; 
26;2;1;2;1;4000;2;2; ;-.0285619855963556;-.510749059458733
45;2;2;2;2;4053;1;2; ;1.1079793147531;-.944594716095389
28;2;1;2;2;3600;2;2;.0075347196482108;.817774561701965;.0486495951616105
33;2;1;2;2;4800;2;2;1.13946402243304;1.30982855215569;-2.15780626951215
35;2;1;2;2;1700;2;1;2.18423129880256;1.52747184852545; 
 ;2;1;2;1;3500;2;1;-.635379541848522;-.70185862375628; 
31;2;1;2;1;2000;2;1;-.414180763683918;-.5712480506584;-.58061126616752
28;2;2;2;1;4000;2;2;-.655457258971813;-.555699949448093;.664202628777545
26;2;1;3;2;1500;2; ;.909302719605827;.534361359380737;-2.34226883056142
